City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
328,Bajil,YE,88.81,scattered clouds,15.0584,43.2851,فندق حضرموت
334,Bathsheba,BB,81.77,overcast clouds,13.2167,-59.5167,Atlantis Hotel
336,Itupiranga,BR,84.52,few clouds,-5.1347,-49.3267,Hotel Panorama
342,Adrar,MR,89.62,clear sky,20.5022,-10.0711,
343,Mikhaylovka,RU,86.45,overcast clouds,50.06,43.2379,5 Komnat
350,Nuevo Casas Grandes,MX,85.75,scattered clouds,30.4167,-107.9167,Hotel Villa Colonial
353,Pali,IN,86.04,overcast clouds,25.7667,73.3333,Seervi Hostel
366,Boyuibe,BO,81.48,clear sky,-20.4167,-63.2833,Residencial Eluzai
367,Port Blair,IN,81.95,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
369,Lexington,US,89.49,scattered clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
373,Guanica,PR,87.21,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
376,Agdas,AZ,86.68,overcast clouds,40.65,47.4761,MAQA telecom
377,Rock Sound,BS,83.43,broken clouds,24.9,-76.2,Rock Sound Club
380,Edgewater,US,88.25,overcast clouds,28.9889,-80.9023,Islander Beach Resort
381,Bridgetown,BB,82.02,overcast clouds,13.1,-59.6167,Hilton Barbados Resort
382,Holland,US,88.48,scattered clouds,42.7875,-86.1089,Hampton Inn Holland
383,Macomb,US,82.45,overcast clouds,40.4592,-90.6718,Hampton Inn Macomb
390,Ossipee,US,81.18,scattered clouds,43.6854,-71.1167,Ken & Denise - Slice of heaven
394,Kumluca,TR,84.02,clear sky,36.3703,30.2869,TurkuazKöy
399,Gibara,CU,84.29,scattered clouds,21.1097,-76.1317,Sol y Mar
400,Tecolutla,MX,87.31,scattered clouds,20.4833,-97.0167,Hotel Plaza Marsol
403,Somerset,US,85.12,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
405,Nishihara,JP,80.26,broken clouds,26.1842,127.7558,Minshuku Agaihama
409,Alexandria,EG,80.49,clear sky,31.2156,29.9553,Royal Crown Hotel
414,Bud,US,87.91,broken clouds,39.447,-86.1758,Ted McQuinn Trust
416,Tateyama,JP,84.22,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
430,Methoni,GR,81.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
437,Lorengau,PG,81.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
445,Elizabeth City,US,84.99,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
449,Katsuura,JP,84.31,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
451,Yangjiang,CN,80.96,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
466,Santa Ines,BR,81.75,clear sky,-3.6667,-45.38,Palace hotel
467,Pau Dos Ferros,BR,83.98,overcast clouds,-6.1125,-38.2063,Hertz Center Hotel
469,Kailua,US,83.14,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
481,Oranjestad,AW,81.68,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
488,Rantoul,US,86.67,scattered clouds,40.3084,-88.1559,First Heritage Inn
508,Charagua,BO,80.31,clear sky,-19.8,-63.2167,Hotel
510,Jieshi,CN,81.52,overcast clouds,22.8134,115.8257,Yuehai Hotel
511,Matay,EG,84.81,clear sky,28.419,30.7792,Nag Aespen
512,Bull Savanna,JM,82.72,light rain,17.8868,-77.5902,Big Red's
523,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
524,Hasaki,JP,82.8,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
529,Kieta,PG,80.51,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
539,Ames,US,84.45,scattered clouds,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
540,Marzuq,YE,88.56,overcast clouds,14.4,46.4667,
544,Greensburg,US,87.17,clear sky,40.3015,-79.5389,Rodeway Inn
557,Rodrigues Alves,BR,89.11,scattered clouds,-7.738,-72.6509,Pousada Aconchego
574,Pondicherry,IN,83.3,overcast clouds,11.93,79.83,Villa Shanti for food lovers
575,Gizo,SB,81.57,scattered clouds,-8.103,156.8419,Imagination Island
579,Tazmalt,DZ,81.1,scattered clouds,36.3868,4.3989,Hôtel Numédia
586,Mandi Bahauddin,PK,82.8,broken clouds,32.5834,73.4843,MBDIN SCHOOL & HOSTEL
595,Sur,OM,87.58,clear sky,22.5667,59.5289,Sur Plaza Hotel
596,Caruray,PH,80.13,overcast clouds,10.3094,119.0128,
601,Fox Lake,US,89.58,overcast clouds,42.3967,-88.1837,Waterfront Hotel & Marina
608,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
611,Broome,US,86.32,clear sky,42.2506,-75.833,Chenango Valley State Park
616,Lar,IN,81.36,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
617,Jimalalud,PH,80.82,light rain,9.9797,123.1999,Florence Place
618,Tomatlan,MX,84.52,scattered clouds,19.9333,-105.25,El Salvial
619,Nara,JP,81.68,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
641,Kemptville,CA,81.95,overcast clouds,45.0168,-75.641,Kemptville Suites by Rob Thompson Hotels
644,North Myrtle Beach,US,88.25,few clouds,33.816,-78.68,Avista Resort
647,Rockland,US,81.72,broken clouds,41.1668,-74.0496,National Camp Association
662,Bari,IT,85.87,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
664,Weyburn,CA,85.17,few clouds,49.6668,-103.8511,Perfect Inns & Suites
674,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
677,Roseburg,US,81.18,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
683,Aloleng,PH,81.45,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
685,Cabra,ES,80.04,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
687,Baracoa,CU,83.64,few clouds,20.3467,-74.4958,Hostal Rio Miel
